Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Afghanistan,AFG,19990.40847,20763.7135,20166.71455,21620.32472,22107.4978,24544.36023,24935.65022,29552.59041,32881.42096,31999.84998,34871.79343,35560.22041,35323.64145,34750.38919,34562.24496,34584.62892,34171.37705,34696.12525,33108.76647,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Albania,ALB,267374.6484,283214.4882,300084.3563,318293.1223,339214.2841,362237.5341,392405.0687,408309.7949,425553.0599,437560.6457,444495.4254,449772.6278,458702.36,470247.1051,486613.0832,505579.9989,527200.2461,540506.22,524691.9758,574825.6399
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Algeria,DZA,356358.61,377173.1783,388241.4822,405472.64,406343.5634,413691.2815,416745.128,416183.8478,423453.7084,427604.444,433598.3788,436901.095,444374.0912,451486.2705,456473.2531,453047.619,448928.3026,444732.8167,414371.0691,422931.3725
GDP per capita (constant LCU),NY.GDP.PCAP.KN,American Samoa,ASM,12272.11944,12303.55492,12314.85825,12290.74668,11876.36401,12250.07282,12106.4533,11768.85752,11928.53577,11998.92386,11496.5241,11199.45439,11381.76408,11737.0892,11553.84919,10770.08828,11088.87326,11064.5068,11522.36535,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Andorra,AND,32138.96185,33438.09784,34702.68852,35360.39863,36088.89438,35901.64728,33429.5254,31431.54829,30813.34217,31070.59273,29998.18021,29527.54736,30861.97973,31794.26359,33271.49233,33515.85127,34043.476,34667.51355,30742.89782,33455.67133
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Angola,AGO,37979.85755,37815.90273,40532.71027,45004.20993,48417.57817,53206.09191,56994.66834,55394.62338,55992.82435,55868.10101,58496.36472,59249.56847,59970.83915,58488.24718,55086.48911,53206.56386,50813.89297,48848.12748,44699.41395,43596.49902
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Antigua and Barbuda,ATG,29650.18264,31050.16959,32417.38957,34043.60315,37788.67195,40662.86639,40007.14336,34673.46068,31487.67466,30448.96359,31073.14699,30514.15146,31312.41762,32159.64348,33586.64833,34314.17343,36349.78501,37790.24867,29909.1169,31230.45134
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Argentina,ARG,10849.07865,11681.91186,12603.02331,13577.17261,14521.53741,15672.25466,16147.04572,15040.29086,16439.0564,17226.27072,16856.71822,17070.0712,16459.20496,16727.43474,16207.20083,16492.0664,15898.08653,15422.03615,13761.83735,15031.22311
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Armenia,ARM,722927.2766,828516.7448,920765.6993,1055595.333,1204208.455,1381177.344,1489173.509,1287846.322,1321110.071,1383576.351,1479232.65,1521005.088,1567748.292,1610640.6,1608042.156,1723572.305,1808927.584,1942466.187,1795381.471,1894589.161
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Aruba,ABW,47898.77042,47425.16698,49987.84736,49156.23625,49320.6387,50649.04274,51508.45485,45450.06506,44115.4773,45428.71142,44732.60859,47331.94397,47043.63244,48447.84788,49225.1943,51679.46394,52094.55246,50785.43881,39282.16848,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Australia,AUS,62612.23119,63767.90615,65683.69486,66871.11421,67688.6544,69802.08954,70864.45607,70714.78953,71135.79266,71886.80728,73410.01471,74033.57185,74806.84484,75339.66143,76205.57592,76653.02542,77651.69224,78095.16338,77096.69619,78094.21531
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Austria,AUT,35724.22001,35885.31714,36638.80515,37206.66168,38301.80921,39600.90348,40053.66343,38444.97211,39057.23794,40063.52749,40152.64904,39926.87112,39878.01234,39833.53233,40189.03431,40812.25534,41629.95032,42063.27985,39067.98399,40640.13973
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Azerbaijan,AZE,994.5692521,1087.824644,1178.130825,1492.22162,1985.109699,2453.410684,2660.906669,2848.516621,2956.945151,2921.58473,2945.444849,3076.517737,3121.925199,3118.705827,2988.43213,2965.169692,2983.686767,3032.495421,2882.304968,3028.087042
GDP per capita (constant LCU),NY.GDP.PCAP.KN,"Bahamas, The",BHS,33004.28724,32018.08874,31716.28101,32191.97902,32385.69081,32235.38548,30909.85801,29117.56293,29121.02464,28921.00016,29485.91923,28362.30329,28616.33727,28625.46766,28100.38024,28667.26566,28897.9994,29154.80916,21996.9078,24783.78188
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bahrain,BHR,8265.2692,8294.135928,8326.352118,8296.959929,8195.118439,8210.862959,8107.531994,7819.37852,7791.498504,7714.225136,7867.697174,8198.724135,8420.647674,8404.850957,8374.623806,8334.804699,8102.084629,7915.894572,7257.977072,7221.254079
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bangladesh,BGD,68286.51926,70295.40629,72793.25419,76408.05118,80415.30279,85041.92263,89129.18728,92586.06341,96651.48309,101729.1143,107120.0049,112256.6192,117707.5273,124024.7327,131400.0846,138561.3593,147144.768,157117.1989,160912.923,170407.9891
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Barbados,BRB,30429.04218,30988.1129,31316.86301,32433.41054,34272.71411,34830.88316,34897.94068,33009.95152,32112.23523,31794.90645,31577.99753,31055.69264,30970.74587,31680.69806,32429.64489,32528.56364,32148.28789,31909.6809,27414.84654,27766.0931
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belarus,BLR,3997.369401,4308.961065,4835.198033,5325.959376,5894.536792,6430.907808,7111.381777,7143.148732,7717.035596,8151.18685,8301.700167,8388.22409,8528.247031,8190.762869,7976.827203,8187.798929,8463.727058,8599.55449,8558.324254,8810.089254
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belgium,BEL,32801.09864,33003.11397,34034.10779,34633.26315,35283.73928,36313.43817,36188.71868,35173.29192,35851.70178,35987.95064,36029.84154,36025.1042,36431.68199,36960.63116,37239.78332,37697.41044,38218.15317,38814.7947,36434.5824,38564.03612
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belize,BLZ,7001.109049,7454.68177,7601.368456,7569.116061,7709.258662,7598.543295,7609.623821,7442.436955,7503.760098,7444.675929,7450.273816,7345.815966,7507.513456,7563.046165,7396.328437,7405.49531,7412.986104,7417.68306,6062.305562,6533.716953
