Series Name,Series Code,Country Name,Country Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP,NY.GDP.PCAP.KN,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19990.40847,20763.7135,20166.71455,21620.32472,22107.4978,24544.36023,24935.65022,29552.59041,32881.42096,31999.84998,34871.79343,35560.22041,35323.64145,34750.38919,34562.24496,34584.62892,34171.37705,34696.12525,33108.76647,..
GDP,NY.GDP.PCAP.KN,Albania,ALB,..,..,..,..,..,..,..,..,207060.0819,214614.9766,216322.9686,214123.392,207041.2668,206439.6145,213901.6954,208020.4761,201233.7616,215166.4171,191093.8021,138415.316,129248.6909,142470.7665,155250.0547,177023.0922,194336.2691,174200.8843,190778.6843,216739.9795,233277.2886,255005.6617,267374.6484,283214.4882,300084.3563,318293.1223,339214.2841,362237.5341,392405.0687,408309.7949,425553.0599,437560.6457,444495.4254,449772.6278,458702.36,470247.1051,486613.0832,505579.9989,527200.2461,540506.22,524691.9758,574825.6399
GDP,NY.GDP.PCAP.KN,Algeria,DZA,273664.6242,276435.1438,289072.3686,295270.3571,311078.8068,318179.9195,337529.6612,352156.8457,344344.3435,343892.9198,354656.365,362311.6109,370968.3904,373239.411,363850.3761,351092.3949,338065.7702,343624.2111,337596.7795,325439.6412,323601.5947,309845.3342,300763.4062,306286.6571,313303.1434,311674.273,322689.9904,328332.8804,336211.2166,341791.222,356358.61,377173.1783,388241.4822,405472.64,406343.5634,413691.2815,416745.128,416183.8478,423453.7084,427604.444,433598.3788,436901.095,444374.0912,451486.2705,456473.2531,453047.619,448928.3026,444732.8167,414371.0691,422931.3725
GDP,NY.GDP.PCAP.KN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12272.11944,12303.55492,12314.85825,12290.74668,11876.36401,12250.07282,12106.4533,11768.85752,11928.53577,11998.92386,11496.5241,11199.45439,11381.76408,11737.0892,11553.84919,10770.08828,11088.87326,11064.5068,11522.36535,..
GDP,NY.GDP.PCAP.KN,Andorra,AND,32145.91876,32996.39808,33335.46971,32217.26528,32153.83614,32070.58498,31599.57253,30631.41703,30233.21574,29037.71105,28184.28369,27462.24461,26740.17001,26203.11864,25934.86549,26278.20248,26535.94569,26746.10954,26710.49259,26347.43409,25591.46938,24458.51838,24361.39671,24569.03382,25510.49361,27843.16832,28812.43842,29887.24211,30458.17403,31975.67712,32138.96185,33438.09784,34702.68852,35360.39863,36088.89438,35901.64728,33429.5254,31431.54829,30813.34217,31070.59273,29998.18021,29527.54736,30861.97973,31794.26359,33271.49233,33515.85127,34043.476,34667.51355,30742.89782,33455.67133
GDP,NY.GDP.PCAP.KN,Angola,AGO,..,..,..,..,..,..,..,..,49617.13772,45791.51854,44193.21905,44435.62604,45452.53881,45403.6251,45099.06774,45319.3616,46450.81821,44901.24033,41911.95495,40943.425,37308.90533,27454.96256,26939.3865,29999.57653,32985.37036,34264.49621,34732.11888,34355.17173,34263.11488,34544.80507,37979.85755,37815.90273,40532.71027,45004.20993,48417.57817,53206.09191,56994.66834,55394.62338,55992.82435,55868.10101,58496.36472,59249.56847,59970.83915,58488.24718,55086.48911,53206.56386,50813.89297,48848.12748,44699.41395,43596.49902
GDP,NY.GDP.PCAP.KN,Antigua and Barbuda,ATG,..,..,..,..,..,12540.35513,13116.24176,14196.59603,15376.83668,15982.05161,15970.95101,16827.90781,18536.96363,19953.56791,22258.16461,23748.84014,24968.72524,26174.61871,26736.12333,26960.21337,26808.82421,27658.7561,28880.225,27029.50256,28197.10442,29104.96883,29852.4973,30356.0811,31673.7932,29761.43605,29650.18264,31050.16959,32417.38957,34043.60315,37788.67195,40662.86639,40007.14336,34673.46068,31487.67466,30448.96359,31073.14699,30514.15146,31312.41762,32159.64348,33586.64833,34314.17343,36349.78501,37790.24867,29909.1169,31230.45134
GDP,NY.GDP.PCAP.KN,Argentina,ARG,11662.98012,11797.91156,12252.33853,12057.7923,11634.99896,12256.6558,11531.50284,12520.63942,12516.93206,11682.24072,11412.64193,11718.72691,11712.65115,10928.77135,11418.85318,11545.15306,11244.60546,10284.21922,9885.79979,10638.53685,11328.72596,12099.4109,12644.54463,12134.69651,12653.40461,13522.0271,13884.55302,13265.97141,13017.24289,12308.18739,10849.07865,11681.91186,12603.02331,13577.17261,14521.53741,15672.25466,16147.04572,15040.29086,16439.0564,17226.27072,16856.71822,17070.0712,16459.20496,16727.43474,16207.20083,16492.0664,15898.08653,15422.03615,13761.83735,15031.22311
GDP,NY.GDP.PCAP.KN,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,736946.5436,656834.2379,389209.3848,363371.8361,392260.3176,427969.2964,460098.1216,480708.8801,519847.469,540422.0879,575928.2869,635130.2773,722927.2766,828516.7448,920765.6993,1055595.333,1204208.455,1381177.344,1489173.509,1287846.322,1321110.071,1383576.351,1479232.65,1521005.088,1567748.292,1610640.6,1608042.156,1723572.305,1808927.584,1942466.187,1795381.471,1894589.161
GDP,NY.GDP.PCAP.KN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26758.8934,31466.66081,37803.04186,42415.57675,43301.91593,44962.40534,45083.87298,45538.95252,46570.44013,45604.97882,44544.73334,46434.31327,46366.2961,46028.51436,48521.99943,49455.2814,47898.77042,47425.16698,49987.84736,49156.23625,49320.6387,50649.04274,51508.45485,45450.06506,44115.4773,45428.71142,44732.60859,47331.94397,47043.63244,48447.84788,49225.1943,51679.46394,52094.55246,50785.43881,39282.16848,..
