Year,Portugal,Yemen,United States
2002,4.5,11.84000015,5.78000021
2003,6.130000114,11.97099972,5.989999771
2004,6.320000172,12.09700012,5.53000021
2005,7.579999924,12.20600033,5.079999924
2006,7.650000095,12.36600018,4.619999886
2007,7.960000038,12.49400043,4.619999886
2008,7.550000191,12.62100029,5.78000021
2009,9.430000305,12.7489996,9.25
2010,10.77000046,12.83100033,9.630000114
2011,12.68000031,13.23499966,8.949999809
2012,15.52999973,13.16699982,8.069999695
2013,16.18000031,13.26799965,7.369999886
2014,13.89000034,13.47000027,6.170000076
2015,12.43999958,13.77000046,5.28000021
2016,11.06999969,13.43299961,4.869999886
2017,8.869999886,13.29699993,4.360000134
2018,6.989999771,13.14500046,3.900000095
2019,6.460000038,13.05599976,3.670000076
2020,6.789999962,13.39099979,8.050000191
2021,6.646999836,13.57400036,5.464000225
