Country,Date,Confirmed Cases,Confirmed Deaths
Afghanistan,7/1/2022,182594,7723
Albania,7/1/2022,281470,3501
Algeria,7/1/2022,266105,6875
American Samoa,7/1/2022,6505,31
Andorra,7/1/2022,44177,153
Angola,7/1/2022,101320,1900
Anguilla,7/1/2022,3456,9
Antarctica,7/1/2022,11,0
Antigua and Barbuda,7/1/2022,8656,141
Argentina,7/1/2022,9367172,129070
Armenia,7/1/2022,423243,8629
Aruba,7/1/2022,40718,221
Australia,7/1/2022,8194909,9984
Austria,7/1/2022,4471152,20057
Azerbaijan,7/1/2022,793302,9717
Bahamas,7/1/2022,35975,817
Bahrain,7/1/2022,627327,1493
Bangladesh,7/1/2022,1975682,29154
Barbados,7/1/2022,84562,477
Belarus,7/1/2022,982867,6978
Belgium,7/1/2022,4246078,31918
Belize,7/1/2022,64138,680
Benin,7/1/2022,27216,163
Bermuda,7/1/2022,16162,140
Bhutan,7/1/2022,59729,21
Bolivia,7/1/2022,928450,21955
Bosnia and Herzegovina,7/1/2022,378797,15806
Botswana,7/1/2022,322769,2750
Brazil,7/1/2022,32434063,671700
British Virgin Islands,7/1/2022,6941,63
Brunei,7/1/2022,164727,225
Bulgaria,7/1/2022,1172777,37257
Burkina Faso,7/1/2022,21044,387
Burundi,7/1/2022,42698,38
Cambodia,7/1/2022,136282,3056
Cameroon,7/1/2022,120068,1931
Canada,7/1/2022,3963763,41968
Cape Verde,7/1/2022,60770,405
"Bonaire, Sint Eustatius and Saba",7/1/2022,10405,37
Cayman Islands,7/1/2022,27594,29
Central African Republic,7/1/2022,14649,113
Chad,7/1/2022,7425,193
Channel Islands,7/1/2022,0,0
Chile,7/1/2022,4002538,58525
China,7/1/2022,5940218,21400
Colombia,7/1/2022,6175181,140070
Comoros,7/1/2022,8139,160
Congo (Brazzaville),7/1/2022,24128,385
Congo (Kinshasa),7/1/2022,91393,1375
Cook Islands,7/1/2022,5774,1
Costa Rica,7/1/2022,904934,8525
Cote d'Ivoire,7/1/2022,83571,805
Croatia,7/1/2022,1149575,16070
Cuba,7/1/2022,1106045,8529
Curacao,7/1/2022,44545,278
Cyprus,7/1/2022,515596,1075
Czechia,7/1/2022,3935058,40321
Denmark,7/1/2022,3173556,6471
Djibouti,7/1/2022,15690,189
Dominica,7/1/2022,14852,68
Dominican Republic,7/1/2022,608176,4383
Ecuador,7/1/2022,909882,35725
Egypt,7/1/2022,515645,24723
El Salvador,7/1/2022,169646,4146
Equatorial Guinea,7/1/2022,16087,183
Eritrea,7/1/2022,9801,103
Estonia,7/1/2022,580114,2591
Eswatini,7/1/2022,73131,1416
Ethiopia,7/1/2022,489005,7537
Falkland Islands,7/1/2022,1815,0
Faroe Islands,7/1/2022,34658,28
Fiji,7/1/2022,65713,866
Finland,7/1/2022,1145610,4875
France,7/1/2022,30341632,146265
French Guiana,7/1/2022,86911,401
French Polynesia,7/1/2022,73268,649
Gabon,7/1/2022,47939,305
Gambia,7/1/2022,12002,365
Georgia,7/1/2022,1660429,16841
Germany,7/1/2022,28392629,141292
Ghana,7/1/2022,166133,1450
Gibraltar,7/1/2022,19633,104
Greece,7/1/2022,3692371,30250
Greenland,7/1/2022,11971,21
Grenada,7/1/2022,18376,232
Guadeloupe,7/1/2022,168714,955
Guam,7/1/2022,52067,372
Guatemala,7/1/2022,915321,18572
Guernsey,7/1/2022,27101,48
Guinea,7/1/2022,37123,443
Guinea-Bissau,7/1/2022,8369,171
Guyana,7/1/2022,67472,1255
Haiti,7/1/2022,31703,837
Honduras,7/1/2022,427718,10906
Hungary,7/1/2022,1928125,46647
Iceland,7/1/2022,195259,179
India,7/1/2022,43486326,525168
Indonesia,7/1/2022,6090509,156740
Iran,7/1/2022,7238589,141390
Iraq,7/1/2022,2351614,25242
Ireland,7/1/2022,1600614,7499
Isle of Man,7/1/2022,36463,108
Israel,7/1/2022,4360719,10958
Italy,7/1/2022,18610011,168425
Jamaica,7/1/2022,142912,3130
Japan,7/1/2022,9342191,31311
Jersey,7/1/2022,53889,131
Jordan,7/1/2022,1699197,14068
Kazakhstan,7/1/2022,1396044,19018
Kenya,7/1/2022,333952,5653
Kiribati,7/1/2022,3236,13
Kosovo,7/1/2022,229366,3140
Kuwait,7/1/2022,644451,2555
