Series Name,Series Code,Country Name,Country Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,153.443964457862,165.61349403997,163.136543314323,211.468197008828,207.528822133236,219.813694811823,256.823871353799,227.08000331988,228.822484414619,190.107208963728,176.842326447541,172.260217660926,185.394337118336,202.745556776456,203.501250885867,214.938182341105,265.240971286117,248.303375660423,291.553357327366,304.874472521182,296.039696568968,222.923183217462,173.990272419466,206.26065256048,221.673040069621,205.862695808741,224.553739501648,190.559071876625,166.175708881786,197.146082103195,221.416536911391,292.600880182047,454.336365239401,658.566973042801,710.396398684645,799.603741996266,929.382751892261,803.686388398795,892.568869694168,984.736130484829,967.352948812122,979.811742616759,1020.28797948927,776.019752284262,693.449767448537,665.948884859102,726.151007088549,709.54004317463,652.349209585738,696.422775532126
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,1899.67578389335,2502.81474512238,2828.74855899504,3153.23577562809,3390.54497596312,3886.37445146759,4694.6337817198,5705.94937054811,5893.66189269128,5380.26761963211,5579.23461523759,5019.87877056877,4852.56566737719,4813.71120474694,5656.50533164528,6564.88442712193,7598.02800548468,7846.67812242278,9600.18523506603,10188.3697801238,11176.4584190614,10401.9830146096,11091.2838472779,12959.3242908115,13749.1151120679,13427.8325055002,13472.1376092623,13249.6633239242,12072.9293569196,12549.036894906,14177.5721592705,18518.3788387396,21995.477943746,22560.1472939077,24821.9367451879,28863.9732885018,32127.9831943287,29828.7560245271,26716.6488260274,25483.8825644931,21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19133.7577636254,17647.2326882744,20276.5446744075
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3350.25832349229,3735.10582034276,3873.98772279767,4173.37302405441,4494.70762405948,4525.03910312241,4596.18262235195,4744.21226429639,4793.47852203763,4624.28165670295,5276.03318905496,6655.33300865319,8421.10331316153,10303.704193626,11225.9325815328,11493.1004118789,13944.9710132004,15777.1920232033,13081.7926445778,13223.0830027699,14240.2575010219,12989.1802815896,13719.9505393621,14298.833667395,12720.7120220668,13107.3779137744,14623.6966492311,16427.3727611478,16735.6597794761,16075.9732662505,18772.6732920667
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18143.4991019849,19357.109349265,19663.0384169881,19427.07798622,19129.1947903156,21061.4822833993,20316.2480483237,18439.6461555058,18991.3798529841,19910.6106710093,20585.1386127162,21853.140239801,24952.5475909074,29650.7702509045,27780.4637181529,30780.0238155167,33775.5120004457,32667.6068723254,36499.4561082284,37847.6499432106,35808.4364289727,37330.261796968,40774.1296073227,42063.4531274811,43951.2477305677,44177.5712248445,51430.0796810561
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,6027.12849917337,7301.215425886,8089.91458466682,10117.3066842673,10868.2757657546,11448.6193912266,12620.5186141512,14877.1642883549,17097.8326512095,15586.4300780047,13738.9722980374,12608.2291505865,13099.0208341765,13666.8577454736,17981.0194119405,21792.5589059822,24534.6938164191,25662.2205892506,30593.6724447761,31822.8038482367,32800.9826867546,24425.2849281118,26083.6143874838,30282.9639200066,32998.9681608432,30312.4875993103,30596.5272048832,30941.0793624668,29624.9126748618,27247.857734793,29899.1952495081,37321.7979047059,42821.6731423358,43437.0631164776,46593.6021646111,53700.0053363063,56152.552340314,46946.9602719954,52869.0442891587,60755.7595508465,58037.8213192173,61126.9431963979,60020.3604576572,51545.4836095322,51965.1571531985,53791.5087298403,54589.0603860606,51939.4297445291,52300.2061994993,60238.9865644922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
