Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Wu Yajun,18.3,China,real estate,100,57,"Beijing, China",China,Divorced,1,Northwestern Polytechnical University,TRUE
Cai Kui,10.4,China,real estate,216,58,"Chengdu, China",China,Divorced,1,"Bachelor of Arts/Science, Nanjing University of Aeronautics & Astronautics",TRUE
Shi Yuzhu,6.3,China,"online games, investments",421,58,"Shanghai, China",China,Divorced,1,"Master of Science, Shenzhen University; Bachelor of Arts/Science, Zhejiang University",TRUE
Dulce Pugliese de Godoy Bueno,6,Brazil,"hospitals, health care",451,73,"Sao Paulo, Brazil",Brazil,Divorced,1,"Doctorate, The University of Texas at Austin; Medical Doctor, Universidade Federal do Rio de Janeiro",TRUE
Hansjoerg Wyss,6,Switzerland,medical devices,451,86,"Wilson, Wyoming",Switzerland,Divorced,1,"Master of Business Administration, Harvard University; Master of Science, Swiss Federal Institute of Technology",TRUE
Piero Ferrari,4.1,Italy,automobiles,705,75,"Modena, Italy",Italy,Divorced,1,,FALSE
Julio Ponce Lerou,4.1,Chile,fertilizer,705,75,"Santiago, Chile",Chile,Divorced,1,,TRUE
H. Fisk Johnson,3.5,United States,cleaning products,859,62,"Racine, Wisconsin",United States,Divorced,1,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",FALSE
Michael Rubin,3.5,United States,online retail,859,48,"Bryn Mawr, Pennsylvania",United States,Divorced,1,"Drop Out, Villanova University",TRUE
Joao Moreira Salles,2.3,Brazil,"banking, minerals",1362,59,"Rio de Janeiro, Brazil",Brazil,Divorced,1,,FALSE
Krit Ratanarak,2.3,Thailand,"media, real estate",1362,75,"Bangkok, Thailand",Thailand,Divorced,1,,FALSE
Yusaku Maezawa,1.9,Japan,online retail,1664,45,"Chiba, Japan",Japan,Divorced,1,,TRUE
Leslie Alexander,1.8,United States,sports team,1750,77,"Houston, Texas",United States,Divorced,1,"Bachelor of Arts/Science, New York University; Doctor of Jurisprudence, Western State University College of Law",TRUE
Lee Boo-jin,1.8,South Korea,Samsung,1750,50,"Seoul, South Korea",South Korea,Divorced,1,"Bachelor of Arts/Science, Yonsei University",FALSE
Sue Gross,1.5,United States,investments,2035,71,"Laguna Beach, California",United States,Divorced,1,"Associate in Arts/Science, Saddleback College",FALSE
Lirio Parisotto,1.5,Brazil,investments,2035,67,"Manaus, Brazil",Brazil,Divorced,1,,TRUE
Manfredi Lefebvre d'Ovidio,1.1,Italy,cruises,2524,68,"Monte Carlo, Monaco",Italy,Divorced,1,"Drop Out, La Sapienza University of Rome",FALSE
Daniel Kretinsky,4.1,Czechia,"energy, investments",705,45,"Prague, Czechia",Czechia,In Relationship,1,"Law Degree, Masaryk University",TRUE
Anna Kasprzak,1.3,Denmark,shoes,2263,31,"Haderslev, Denmark",Denmark,In Relationship,1,,FALSE
Tyler Perry,1,United States,"movies, television",2674,51,"Atlanta, Georgia",United States,In Relationship,1,,TRUE
Larry Page,91.5,United States,Google,8,48,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",TRUE
Vagit Alekperov,24.9,Russia,oil,66,70,"Moscow, Russia",Russia,Married,1,"Bachelor of Science in Engineering, Azerbaijan Institute of Oil and Chemistry",TRUE
Jiang Rensheng & family,24.4,China,vaccines,69,67,"Chongqing, China",China,Married,1,"Associate in Arts/Science, Guilin Medical University",TRUE
Shiv Nadar,23.5,India,software services,71,75,"Delhi, India",India,Married,1,"Bachelor of Arts/Science, PSG College of Technology",TRUE
Stefan Quandt,21.6,Germany,BMW,81,54,"Frankfurt, Germany",Germany,Married,1,"Associate in Arts/Science, Technical University of Karlsruhe",FALSE
Sun Piaoyang,18.9,China,pharmaceuticals,96,62,"Lianyungang, China",China,Married,1,"Bachelor of Arts/Science, China Pharmaceutical University; Doctorate, Nanjing University",TRUE
Wang Jianlin,14.8,China,real estate,137,66,"Beijing, China",China,Married,1,Liaoning University,TRUE
Eduardo Saverin,14.6,Brazil,Facebook,140,39,"Singapore, Singapore",Brazil,Married,1,"Bachelor of Arts/Science, Harvard University",TRUE
Liang Wengen,14.1,China,construction equipment,148,64,"Changsha, China",China,Married,1,"Bachelor of Arts/Science, Central South University",TRUE
Iskander Makhmudov,9.7,Russia,"mining, metals, machinery",234,57,"Moscow, Russia",Russia,Married,1,"Bachelor of Arts/Science, Tashkent State University",TRUE
Zong Qinghou,8.8,China,beverages,269,75,"Hangzhou, China",China,Married,1,,TRUE
Niels Peter Louis-Hansen,8.2,Denmark,medical devices,304,73,"Humlebaek, Denmark",Denmark,Married,1,,FALSE
Nicky Oppenheimer & family,8,South Africa,diamonds,308,75,"Johannesburg, South Africa",South Africa,Married,1,"Bachelor of Arts/Science, Oxford U Christ Church; Master of Arts, Oxford U Christ Church",FALSE
David Reuben,7.7,United Kingdom,"investments, real estate",323,82,"London, United Kingdom",United Kingdom,Married,1,,TRUE
Simon Reuben,7.7,United Kingdom,"real estate, investments",323,80,"Monaco, Monaco",United Kingdom,Married,1,"Drop Out, Sir John Cass College, London",TRUE
Nancy Walton Laurie,7.5,United States,Walmart,334,69,"Henderson, Nevada",United States,Married,1,"Bachelor of Arts/Science, University of Memphis",FALSE
Carl Bennet,7.1,Sweden,investments,358,69,"Gothenberg, Sweden",Sweden,Married,1,"Master of Business Administration, University of Gothenburg",TRUE
Richard Kinder,7,United States,pipelines,369,76,"Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Missouri; Doctor of Jurisprudence, University of Missouri",TRUE
Aloys Wobben,6.8,Germany,wind turbines,384,69,"Aurich, Germany",Germany,Married,1,"Bachelor of Arts/Science, U of Oldenburg",TRUE
Wang Wenjing,6.6,China,business software,400,56,"Beijing, China",China,Married,1,"Bachelor of Arts/Science, Jiangxi University of Finance & Economics",TRUE
Chu Mang Yee & family,6.5,China,real estate,404,61,"Guangzhou, China",China,Married,1,,TRUE
Liu Yongxing,6.5,China,diversified,404,72,"Shanghai, China",China,Married,1,,TRUE
Horst Julius Pudwill,6.5,Germany,manufacturing,404,76,"Hong Kong, Hong Kong",Germany,Married,1,"Master of Science in Engineering, Technical College in Flensburg",TRUE
Andrei Kozitsyn,6.3,Russia,metals,421,60,"Verkhniaya Pyshma, Russia",Russia,Married,1,"Bachelor of Science in Engineering, Ural Polytechnic Institute",TRUE
Jiang Bin,6.2,China,acoustic components,432,54,"Weifang, China",China,Married,1,"Bachelor of Arts/Science, Beijing University of Aeronautics and Astronautics; Master of Business Administration, Tsinghua University",TRUE
Robert Brockman,6,United States,Software,451,79,"Houston, Texas",United States,Married,1,"Bachelor of Business Administration, University of Florida",TRUE
Daniel Dines,6,Romania,software,451,49,"New York, New York",Romania,Married,1,"Bachelor of Science, University of Bucharest; Master of Science, University of Bucharest",TRUE
Randa Duncan Williams,6,United States,pipelines,451,59,"Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, Rice University; Doctor of Jurisprudence, University of Houston",FALSE
Daniel Ziff,5,United States,investments,561,49,"New York, New York",United States,Married,1,"Bachelor of Arts/Science, Columbia University",FALSE
Lin Li,4.9,China,investments,574,58,"Shenzhen, China",China,Married,1,"Chinese Academy of Social Sciences; Bachelor of Arts/Science, Hubei University of Technology",TRUE
Mark Walter,4.7,United States,finance,608,60,"Chicago, Illinois",United States,Married,1,"Bachelor of Arts/Science, Creighton University; Doctor of Jurisprudence, Northwestern University",TRUE
Ralph Dommermuth,4.3,Germany,internet service provider,665,57,"Montabaur, Germany",Germany,Married,1,,TRUE
Edwin Leong,4.3,Hong Kong,real estate,665,69,"Hong Kong, Hong Kong",Hong Kong,Married,1,,TRUE
Takao Yasuda,4.3,Japan,retail,665,72,"Singapore, Singapore",Japan,Married,1,"Bachelor of Arts/Science, Keio University",TRUE
Fu Liquan & family,4.2,China,surveillance equipment,680,53,"Hangzhou, China",China,Married,1,"Bachelor of Arts/Science, Zhejiang Shuren University; EMBA, Zhejiang University",TRUE
Rakesh Gangwal,3.9,United States,airline,752,67,"Miami, Florida",United States,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",TRUE
Mark Shoen,3.9,United States,U-Haul,752,70,"Phoenix, Arizona",United States,Married,1,,FALSE
David Filo,3.5,United States,Yahoo,859,55,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, Tulane University",TRUE
Sergei Galitsky,3.5,Russia,retail,859,53,"Krasnodar, Russia",Russia,Married,1,"Bachelor of Arts/Science, Kuban State University",TRUE
Romesh T. Wadhwani,3.5,United States,software,859,73,"Palo Alto, California",United States,Married,1,"Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay",TRUE
"William Conway, Jr.",3.4,United States,private equity,891,71,"McLean, Virginia",United States,Married,1,"Bachelor of Arts/Science, Dartmouth College",TRUE
Alexander Frolov,3.4,Russia,"mining, steel",891,56,"Moscow, Russia",Russia,Married,1,"Doctorate, Moscow Institute of Physics and Technology",TRUE
Kelcy Warren,3.4,United States,pipelines,891,65,"Dallas, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Texas Arlington",TRUE
Senapathy Gopalakrishnan,3.3,India,software services,925,66,"Bangalore, India",India,Married,1,"Master of Science, Indian Institute of Technology",TRUE
Yuri Kovalchuk,3.3,Russia,"banking, insurance, media",925,69,"St. Petersburg, Russia",Russia,Married,1,"Doctorate, St Petersburg State University",TRUE
Zhang Li,3.2,China,real estate,956,68,"Guangzhou, China",China,Married,1,,TRUE
Ferit Faik Sahenk,3,Turkey,diversified,1008,57,"Istanbul, Turkey",Turkey,Married,1,"Bachelor of Arts/Science, Boston College",FALSE
Sybill Storz,3,Germany,medical devices,1008,84,"Leipzig, Germany",Germany,Married,1,,FALSE
Maggie Hardy Knox,2.9,United States,building materials,1064,55,"Belle Vernon, Pennsylvania",United States,Married,1,"Drop Out, West Virginia University",FALSE
Aneel Bhusri,2.8,United States,business software,1111,55,"San Francisco, California",United States,Married,1,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business",TRUE
Morris Chang,2.8,Taiwan,semiconductors,1111,89,"Hsinchu, Taiwan",Taiwan,Married,1,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology; Ph.D, Stanford University",TRUE
